Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,"Hi, Mom","$822,054,381",-,-,"$822,054,381",100%
2,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
3,Godzilla vs. Kong,"$442,512,876","$100,112,876",22.6%,"$342,400,000",77.4%
4,F9: The Fast Saga,"$292,066,000",-,-,"$292,066,000",100%
5,A Quiet Place Part II,"$221,959,178","$125,259,178",56.4%,"$96,700,000",43.6%
6,Impasse,"$180,100,779","$152,972",<0.1%,"$179,947,807",99.9%
7,Cruella,"$159,935,802","$64,735,802",40.5%,"$95,200,000",59.5%
8,A Writer's Odyssey,"$149,754,251","$133,527",<0.1%,"$149,620,724",99.9%
9,The Conjuring: The Devil Made Me Do It,"$142,801,284","$53,601,284",37.5%,"$89,200,000",62.5%
10,Sister,"$128,292,175",-,-,"$128,292,175",100%
11,Mortal Kombat,"$124,309,781","$42,109,781",33.9%,"$82,200,000",66.1%
12,Raya and the Last Dragon,"$120,448,610","$54,335,470",45.1%,"$66,113,140",54.9%
13,Tom and Jerry,"$120,041,123","$46,041,123",38.4%,"$74,000,000",61.6%
14,My Love,"$113,717,293","$86,252",<0.1%,"$113,631,041",99.9%
15,Wrath of Man,"$95,110,848","$26,810,848",28.2%,"$68,300,000",71.8%
16,Detective Conan: The Scarlet Bullet,"$92,228,965",-,-,"$92,228,965",100%
17,Endgame,"$91,815,762","$23,149",<0.1%,"$91,792,613",100%
18,Peter Rabbit 2: The Runaway,"$90,825,283","$20,325,283",22.4%,"$70,500,000",77.6%
19,Evangelion: 3.0+1.0 Thrice Upon a Time,"$81,755,488",-,-,"$81,755,488",100%
20,Boonie Bears: The Wild Life,"$77,754,951",-,-,"$77,754,951",100%
21,Nobody,"$61,558,762","$26,141,045",42.5%,"$35,417,717",57.5%
22,Avatar 2021 Re-release,"$57,566,409",-,-,"$57,566,409",100%
23,Nezha Reborn,"$56,088,478",-,-,"$56,088,478",100%
24,Break Through the Darkness,"$52,700,000",-,-,"$52,700,000",100%
25,Love Will Tear Us Apart,"$44,966,135",-,-,"$44,966,135",100%
26,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
27,Spiral,"$36,279,549","$22,987,153",63.4%,"$13,292,396",36.6%
28,I Fell in Love Like A Flower Bouquet,"$34,470,368",-,-,"$34,470,368",100%
29,Rurouni Kenshin: Final Chapter Part I - The Final,"$33,457,923",-,-,"$33,457,923",100%
30,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
31,Once Upon a Time in Hong Kong,"$32,218,874",-,-,"$32,218,874",100%
32,Home Sweet Home,"$32,178,677",-,-,"$32,178,677",100%
33,The Unholy,"$30,830,440","$15,530,440",50.4%,"$15,300,000",49.6%
34,The Little Things,"$29,844,012","$15,244,012",51.1%,"$14,600,000",48.9%
35,Master,"$28,692,230",-,-,"$28,692,230",100%
36,The Last Warrior: Root of Evil,"$28,357,398",-,-,"$28,357,398",100%
37,Those Who Wish Me Dead,"$23,814,886","$7,309,124",30.7%,"$16,505,762",69.3%
38,The Marksman,"$22,667,451","$15,566,093",68.7%,"$7,101,358",31.3%
39,Chaos Walking,"$21,887,908","$13,287,908",60.7%,"$8,600,000",39.3%
40,In the Heights,"$21,759,628","$19,659,628",90.3%,"$2,100,000",9.7%
41,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
42,Nomadland,"$20,738,416","$2,143,000",10.3%,"$18,595,416",89.7%
43,Spirit Untamed,"$19,194,180","$13,819,180",72%,"$5,375,000",28%
44,Bo Gia,"$17,480,489","$350,000",2%,"$17,130,489",98%
45,The Dry,"$17,380,927","$327,827",1.9%,"$17,053,100",98.1%
46,The Hitman's Wife's Bodyguard,"$17,104,837","$17,024,340",99.5%,"$80,497",0.5%
47,Gintama: The Final,"$16,978,486",-,-,"$16,978,486",100%
48,Konyok-gorbunok,"$15,990,882",-,-,"$15,990,882",100%
49,The Courier,"$15,445,544","$6,605,484",42.8%,"$8,840,060",57.2%
50,Minari,"$14,668,530","$3,110,580",21.2%,"$11,557,950",78.8%
51,Man in Love,"$13,300,000",-,-,"$13,300,000",100%
52,Vakeel Saab,"$13,056,490",-,-,"$13,056,490",100%
53,Monkey King Reborn,"$13,000,000",-,-,"$13,000,000",100%
54,Extinct,"$10,864,678",-,-,"$10,864,678",100%
55,Krack,"$10,442,916",-,-,"$10,442,916",100%
56,"Caution, Hazardous Wife: The Movie","$10,356,359",-,-,"$10,356,359",100%
57,Meitantei Conan: Hiiro no fuzai shômei,"$10,308,627",-,-,"$10,308,627",100%
58,Never Stop,"$10,213,793",-,-,"$10,213,793",100%
59,Rurôni Kenshin: Sai shûshô - The Beginning,"$9,926,330",-,-,"$9,926,330",100%
60,The Soul,"$9,600,000",-,-,"$9,600,000",100%
61,The Eleventh Chapter,"$8,845,525",-,-,"$8,845,525",100%
62,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,-,"$8,377,569",100%
63,Love Letter 2021 Re-release,"$7,400,000",-,-,"$7,400,000",100%
64,Signal: The Movie,"$7,344,186",-,-,"$7,344,186",100%
65,Dad,"$7,189,680",-,-,"$7,189,680",100%
66,Couple from the Future,"$7,160,729",-,-,"$7,160,729",100%
67,Are You Lonesome Tonight?,"$6,900,000",-,-,"$6,900,000",100%
68,Lat Mat 5: 48H,"$6,781,370",-,-,"$6,781,370",100%
69,Judas and the Black Messiah,"$6,599,173","$5,446,607",82.5%,"$1,152,566",17.5%
70,Sunny Sisters,"$6,300,000",-,-,"$6,300,000",100%
71,August Never Ends,"$6,200,000",-,-,"$6,200,000",100%
72,Penguin Bloom,"$6,191,805",-,-,"$6,191,805",100%
73,June Again,"$5,688,174",-,-,"$5,688,174",100%
74,Brave: Gunjyo Senki,"$5,677,186",-,-,"$5,677,186",100%
75,Suicide Forest Village,"$5,649,792",-,-,"$5,649,792",100%
76,Secret Magic Control Agency,"$5,631,112",-,-,"$5,631,112",100%
77,Octonauts: The Ring of Fire,"$5,512,875",-,-,"$5,512,875",100%
78,Hell's Garden,"$5,450,978",-,-,"$5,450,978",100%
79,Chernobyl: Abyss,"$5,432,143",-,-,"$5,432,143",100%
80,Kiba: The Fangs of Fiction,"$5,283,305",-,-,"$5,283,305",100%
81,Beautiful Lure: A Modern Tale of Painted Skin,"$5,239,977",-,-,"$5,239,977",100%
82,Poly,"$5,232,011",-,-,"$5,232,011",100%
83,Son of Morning,"$5,075,369",-,-,"$5,075,369",100%
84,Luca,"$5,000,000",-,-,"$5,000,000",100%
85,Red,"$4,920,261",-,-,"$4,920,261",100%
86,Palma,"$4,826,877",-,-,"$4,826,877",100%
87,Mobile Suit Gundam: Hathaway,"$4,777,893",-,-,"$4,777,893",100%
88,Under the Open Sky,"$4,702,781",-,-,"$4,702,781",100%
89,Separation,"$4,509,143","$4,509,143",100%,-,-
90,Prababushka lyogkogo povedeniya,"$4,508,907",-,-,"$4,508,907",100%
91,Major Grom: Plague Doctor,"$4,493,306",-,-,"$4,493,306",100%
92,V2. Escape from Hell,"$4,392,744",-,-,"$4,392,744",100%
93,77 Heartwarmings,"$4,345,693",-,-,"$4,345,693",100%
94,The Relatives,"$4,300,000",-,-,"$4,300,000",100%
95,Dream Horse,"$4,274,699","$2,672,265",62.5%,"$1,602,434",37.5%
96,Voyagers,"$4,272,263","$3,149,935",73.7%,"$1,122,328",26.3%
97,Girls und Panzer das Finale: Part III,"$4,216,657",-,-,"$4,216,657",100%
98,Boogie,"$4,191,023","$4,178,620",99.7%,"$12,403",0.3%
99,Seobok,"$4,119,613",-,-,"$4,119,613",100%
100,The Lord of the Rings: The Two Towers 2021 Re-release,"$4,084,695",-,-,"$4,084,695",100%
101,The Mauritanian,"$4,072,381","$836,536",20.5%,"$3,235,845",79.5%
102,Karnan,"$3,817,585",-,-,"$3,817,585",100%
103,Wrong Turn,"$3,777,969","$1,251,184",33.1%,"$2,526,785",66.9%
104,Mission Possible,"$3,563,279",-,-,"$3,563,279",100%
105,Tomorrow Will Be Fine,"$3,520,000",-,-,"$3,520,000",100%
106,Son of Morning 2021 Re-release,"$3,491,793",-,-,"$3,491,793",100%
107,The Sun Does Not Move,"$3,483,187",-,-,"$3,483,187",100%
108,Finding You,"$3,303,663","$2,735,462",82.8%,"$568,201",17.2%
109,Endless Rain,"$3,211,137","$7,334",0.2%,"$3,203,803",99.8%
110,The Girl Who Believes in Miracles,"$3,163,362","$3,163,362",100%,-,-
111,Después de Ti,"$3,162,778",-,-,"$3,162,778",100%
112,Land,"$2,953,228","$2,577,830",87.3%,"$375,398",12.7%
113,Here Today,"$2,785,942","$2,785,942",100%,-,-
114,Long Story Short,"$2,717,948",-,-,"$2,717,948",100%
115,Recalled,"$2,696,945",-,-,"$2,696,945",100%
116,The Book of Fish,"$2,682,886",-,-,"$2,682,886",100%
117,High Ground,"$2,414,117",-,-,"$2,414,117",100%
118,Character,"$2,347,015",-,-,"$2,347,015",100%
119,Roohi,"$2,306,525",-,-,"$2,306,525",100%
120,Mumbai Saga,"$2,243,073",-,-,"$2,243,073",100%
121,Fly Me Away,"$2,238,089",-,-,"$2,238,089",100%
122,Yakuza and the Family,"$2,168,905",-,-,"$2,168,905",100%
123,30 Rojullo Preminchadam Ela?,"$2,088,571",-,-,"$2,088,571",100%
124,Fate/Grand Order The Movie Divine Realm Of The Round Table: Camelot Paladin; Agateram,"$2,085,581",-,-,"$2,085,581",100%
125,The Night Beyond the Tricornered Window,"$2,081,564",-,-,"$2,081,564",100%
126,One Second Champion,"$2,081,126",-,-,"$2,081,126",100%
127,The House Next Door: Meet the Blacks 2,"$2,015,287","$2,015,287",100%,-,-
128,Mandibles,"$1,923,978",-,-,"$1,923,978",100%
129,Alludu Adhurs,"$1,915,032",-,-,"$1,915,032",100%
130,Ensemble Stars!! Es Music Garden Delay Viewing,"$1,905,644",-,-,"$1,905,644",100%
131,Radhe,"$1,896,253",-,-,"$1,896,253",100%
132,Profile,"$1,756,073","$1,744,740",99.4%,"$11,333",0.6%
133,Boss Level,"$1,736,352",-,-,"$1,736,352",100%
134,Calamity Jane,"$1,734,956",-,-,"$1,734,956",100%
135,The Con-Heartist,"$1,629,745",-,-,"$1,629,745",100%
136,Josep,"$1,592,590",-,-,"$1,592,590",100%
137,Minamata,"$1,581,314",-,-,"$1,581,314",100%
138,French Exit,"$1,559,180","$737,802",47.3%,"$821,378",52.7%
139,Juega Conmigo,"$1,548,495",-,-,"$1,548,495",100%
140,Tempting Hearts,"$1,530,000",-,-,"$1,530,000",100%
141,La La Land 2020 Re-release,"$1,499,170",-,-,"$1,499,170",100%
142,El Exorcismo de Carmen Farías,"$1,474,579",-,-,"$1,474,579",100%
143,Ainbo,"$1,459,660",-,-,"$1,459,660",100%
144,Together Together,"$1,431,429","$1,431,429",100%,-,-
145,Eeswaran,"$1,413,760",-,-,"$1,413,760",100%
146,New Year Blues,"$1,344,633",-,-,"$1,344,633",100%
147,I Care a Lot,"$1,288,436",-,-,"$1,288,436",100%
148,Abominable 2021 Re-release,"$1,260,243","$110,000",8.7%,"$1,150,243",91.3%
149,12 Mighty Orphans,"$1,255,729","$1,255,729",100%,-,-
150,Scott Pilgrim vs. the World 10th Anniversary (2021 Re-release),"$1,253,415","$1,253,415",100%,-,-
151,Zombie Reddy,"$1,242,321",-,-,"$1,242,321",100%
152,The Last Frontier,"$1,234,447",-,-,"$1,234,447",100%
153,Cousins,"$1,198,697",-,-,"$1,198,697",100%
154,Supernova,"$1,181,535","$234,220",19.8%,"$947,315",80.2%
155,Harry Potter and the Prisoner of Azkaban 2021 Re-release,"$1,139,712",-,-,"$1,139,712",100%
156,Sailor Moon Eternal,"$1,130,225",-,-,"$1,130,225",100%
157,Crisis,"$1,122,326","$404,738",36.1%,"$717,588",63.9%
158,In the Earth,"$1,113,723","$1,113,723",100%,-,-
159,Super Me,"$1,100,000",-,-,"$1,100,000",100%
160,Aria the Crepuscolo,"$1,087,319",-,-,"$1,087,319",100%
161,Kakegurui the Movie: Zettai Zetsumei Russian Roulette,"$1,084,503",-,-,"$1,084,503",100%
162,The Way We Keep Dancing,"$1,074,644",-,-,"$1,074,644",100%
163,Gekijouban Bang Dream! Episode of Roselia: Promise,"$1,060,631",-,-,"$1,060,631",100%
164,In the Mood for Love 2020 Re-release,"$1,049,643",-,-,"$1,049,643",100%
165,Chacun chez soi,"$1,036,686",-,-,"$1,036,686",100%
166,Pipeline,"$1,036,532",-,-,"$1,036,532",100%
167,Shadow in the Cloud,"$1,024,767","$156,932",15.3%,"$867,835",84.7%
168,Crazy Wedding 3,"$1,023,947",-,-,"$1,023,947",100%
169,Cosmic Sin,"$1,020,003",-,-,"$1,020,003",100%
170,Long Weekend,"$1,018,532","$1,018,532",100%,-,-
171,The North Wind,"$1,003,414",-,-,"$1,003,414",100%
172,A Stand Worthy of Men,"$999,600",-,-,"$999,600",100%
173,The Lord of the Rings: The Fellowship of the Ring 2019 Re-release,"$987,411",-,-,"$987,411",100%
174,The Seventh Day,"$962,908",-,-,"$962,908",100%
175,The Box,"$960,915",-,-,"$960,915",100%
176,Maya the Bee 3: The Golden Orb,"$945,615",-,-,"$945,615",100%
177,Zoya,"$944,885",-,-,"$944,885",100%
178,The Vault,"$942,581",-,-,"$942,581",100%
179,Queen Bees,"$926,331","$926,331",100%,-,-
180,The United States vs. Billie Holiday,"$901,545",-,-,"$901,545",100%
181,The Truffle Hunters,"$879,010","$420,671",47.9%,"$458,339",52.1%
182,Home Front,"$868,124",-,-,"$868,124",100%
183,Four Good Days,"$837,849","$837,849",100%,-,-
184,Dynasty Warriors,"$829,947",-,-,"$829,947",100%
185,The Speech,"$816,443",-,-,"$816,443",100%
186,Villa Caprice,"$767,320",-,-,"$767,320",100%
187,The Last Journey of Paul W. R.,"$759,096",-,-,"$759,096",100%
188,Lamb of God: The Concert Film,"$744,513","$744,513",100%,-,-
189,The Bad Poet,"$733,812",-,-,"$733,812",100%
190,Jathi Ratnalu,"$731,273","$470,000",64.3%,"$261,273",35.7%
191,Trang Ti Phieu Luu Ky,"$665,224",-,-,"$665,224",100%
192,Our Friend,"$663,725","$663,725",100%,-,-
193,Ready o/r Knot,"$657,371",-,-,"$657,371",100%
194,Music,"$645,949",-,-,"$645,949",100%
195,Tazza: One-Eyed Jack 2021 Re-release,"$645,401",-,-,"$645,401",100%
196,The Hobbit: The Desolation of Smaug 2021 Re-release,"$640,658",-,-,"$640,658",100%
197,My Salinger Year,"$614,724","$54,730",8.9%,"$559,994",91.1%
198,Chungking Express 2020 Re-release,"$606,979",-,-,"$606,979",100%
199,Kongsuni The Movie: Toy World Adventure,"$594,695",-,-,"$594,695",100%
200,Three Sisters 2021 Re-release,"$594,075",-,-,"$594,075",100%
